name,color,price_old,price_new,image,warranty,condition,accessories,CPU,RAM,capacity,time,battery
Điện thoại realme C65s 8GB/256GB,Màu: Xanh lá,2.950.000₫,5.290.000₫,https://cdnv2.tgdd.vn/posimageused//posused/2025/04/16/0_46243195_realmec65s8256gbxanhla_1744812336519.jpg,Chính hãng đến 20/10/2025,Có trầy xước,"Sách hướng dẫn,Cây lấy sim,Ốp lưng,Hộp,Cáp Type C - Type A,Củ sạc nhanh rời đầu Type A",Unisoc Tiger T612,8 GB,256 GB,08/2024,5000 mAh
Điện thoại realme C65s 8GB/256GB,Màu: Xanh Dương,2.950.000₫,5.290.000₫,https://cdnv2.tgdd.vn/posimageused//posused/2024/10/24/0_45458816_realmec65s8256gbxanhduong_1729758059430.jpg,Chính hãng đến 17/10/2025,Có trầy xước,"Ốp lưng, Cáp Type C - Type A, Củ sạc nhanh rời đầu Type A",Unisoc Tiger T612,8 GB,256 GB,08/2024,5000 mAh
Điện thoại realme C65s 8GB/256GB,Màu: Xanh lá,2.960.000₫,5.290.000₫,https://cdnv2.tgdd.vn/posimageused//posused/2024/12/03/0_45670565_realmec65s8256gbxanhla_1733236125255.jpg,Chính hãng đến 04/11/2025,Có trầy xước,"Sách hướng dẫn,Cây lấy sim,Ốp lưng,Hộp,Cáp Type C - Type A,Củ sạc nhanh rời đầu Type A",Unisoc Tiger T612,8 GB,256 GB,08/2024,5000 mAh
Điện thoại realme C65s 8GB/256GB,Màu: Xanh lá,2.960.000₫,5.290.000₫,https://cdnv2.tgdd.vn/posimageused//posused/2025/01/19/0_45852283_realmec65s8256gbxanhla_1737288337849.jpg,Chính hãng đến 30/10/2025,Có trầy xước,"Sách hướng dẫn,Cây lấy sim,Hộp,Cáp Type C - Type A,Củ sạc nhanh rời đầu Type A",Unisoc Tiger T612,8 GB,256 GB,08/2024,5000 mAh
Điện thoại realme C65s 8GB/256GB,Màu: Xanh Dương,2.960.000₫,5.290.000₫,https://cdnv2.tgdd.vn/posimageused/posused/2025/04/19/0_46268312_realmec65s8256gbxanhduong_1745031210849.jpg,Chính hãng đến 21/10/2025,Có trầy xước,"Sách hướng dẫn,Cây lấy sim,Ốp lưng,Hộp,Cáp Type C - Type A,Củ sạc nhanh rời đầu Type A",Unisoc Tiger T612,8 GB,256 GB,08/2024,5000 mAh
Điện thoại realme C65s 8GB/256GB,Màu: Xanh Dương,2.990.000₫,5.290.000₫,https://cdnv2.tgdd.vn/posimageused//posused/2025/03/25/0_45817595_realmec65s8256gbxanhduong_1742874101272.jpg,Chính hãng đến 05/12/2025,Có trầy xước,"Sách hướng dẫn, Cây lấy sim, Ốp lưng, Cáp Type C - Type A, Củ sạc nhanh rời đầu Type A",Unisoc Tiger T612,8 GB,256 GB,08/2024,5000 mAh
Điện thoại realme C65s 8GB/256GB,Màu: Xanh Dương,2.990.000₫,5.290.000₫,https://cdnv2.tgdd.vn/posimageused//posused/2024/12/02/0_45665618_realmec65s8256gbxanhduong_1733125955580.jpg,Chính hãng đến 29/11/2025,Có trầy xước,"Hộp, Sách hướng dẫn, Cây lấy sim, Ốp lưng, Cáp Type C - Type A, Củ sạc nhanh rời đầu Type A",Unisoc Tiger T612,8 GB,256 GB,08/2024,5000 mAh
Điện thoại realme C65s 8GB/256GB,Màu: Xanh lá,2.990.000₫,5.290.000₫,https://cdnv2.tgdd.vn/posimageused//posused/2025/03/26/0_45795838_realmec65s8256gbxanhla_1742951347483.jpg,Chính hãng đến 23/11/2025,Có trầy xước,"Hộp, Sách hướng dẫn, Cây lấy sim, Ốp lưng, Cáp Type C - Type A, Củ sạc nhanh rời đầu Type A",Unisoc Tiger T612,8 GB,256 GB,08/2024,5000 mAh
Điện thoại realme C65s 8GB/256GB,Màu: Xanh lá,2.990.000₫,5.290.000₫,https://cdnv2.tgdd.vn/posimageused//posused/2024/12/15/0_45716993_realmec65s8256gbxanhla_1734262945449.jpg,Chính hãng đến 25/11/2025,Có trầy xước,"Hộp, Sách hướng dẫn, Cây lấy sim, Ốp lưng, Cáp Type C - Type A, Củ sạc nhanh rời đầu Type A",Unisoc Tiger T612,8 GB,256 GB,08/2024,5000 mAh
Điện thoại realme C65s 8GB/256GB,Màu: Xanh Dương,2.990.000₫,5.290.000₫,https://cdnv2.tgdd.vn/posimageused//posused/2025/03/17/0_46100158_realmec65s8256gbxanhduong_1742213224066.jpg,Chính hãng đến 23/11/2025,Có trầy xước,"Hộp, Sách hướng dẫn, Cây lấy sim, Ốp lưng, Cáp Type C - Type A, Củ sạc nhanh rời đầu Type A",Unisoc Tiger T612,8 GB,256 GB,08/2024,5000 mAh
