,name,brand,condition,price_new,RAM,capacity,battery,screen_size,weight,bluetooth,refresh_rate,GPU,resolution_width,resolution_height,has_esim,height,width,depth,time_difference,os,chip,Cluster,price_old
9519,81,2,2,15990.0,12.0,256.0,5600.0,6.59,181.0,3.8,120.0,1,1256.0,2760.0,0.0,157.9,74.73,7.24,157.0,0,4,2,10980.0
2328,151,3,2,28990.0,12.0,256.0,4000.0,6.7,187.0,3.6,120.0,2,1080.0,2640.0,1.0,165.1,85.1,71.9,341.0,0,2,1,12960.0
9581,81,2,2,15990.0,12.0,256.0,5600.0,6.59,181.0,3.8,120.0,1,1256.0,2760.0,0.0,157.9,74.73,7.24,157.0,0,4,2,11150.0
3788,200,2,2,24490.0,12.0,512.0,4610.0,6.36,193.0,3.8,120.0,2,1200.0,2670.0,1.0,152.8,71.5,8.2,463.0,0,2,2,12370.0
9271,202,2,2,12990.0,12.0,256.0,5000.0,6.67,195.0,3.8,144.0,1,1220.0,2712.0,1.0,160.5,75.1,7.8,279.0,0,4,2,8760.0
3586,110,3,2,3790.0,6.0,128.0,5000.0,6.7,189.0,3.6,60.0,1,720.0,1600.0,0.0,167.3,77.3,8.0,310.0,0,4,0,2590.0
4576,210,2,2,4290.0,6.0,128.0,5030.0,6.79,205.0,3.8,90.0,1,1080.0,2460.0,0.0,168.6,76.28,8.3,371.0,0,4,0,2590.0
3929,200,2,2,24490.0,12.0,512.0,4610.0,6.36,193.0,3.8,120.0,2,1200.0,2670.0,1.0,152.8,71.5,8.2,463.0,0,2,2,12370.0
5758,187,2,2,4490.0,8.0,128.0,5000.0,6.56,185.0,3.0,90.0,1,720.0,1612.0,0.0,163.63,75.58,8.39,402.0,0,4,0,2720.0
5935,186,2,2,3990.0,6.0,128.0,5000.0,6.56,186.0,3.0,90.0,1,720.0,1612.0,0.0,163.74,75.43,8.09,645.0,0,4,0,2390.0
4447,210,2,2,4290.0,6.0,128.0,5030.0,6.79,205.0,3.8,90.0,1,1080.0,2460.0,0.0,168.6,76.28,8.3,371.0,0,4,0,2590.0
11234,152,3,2,33990.0,12.0,256.0,5000.0,6.9,218.0,3.8,120.0,2,1440.0,3120.0,1.0,162.8,77.6,8.2,157.0,0,2,1,22580.0
2227,151,3,2,28990.0,12.0,256.0,4000.0,6.7,187.0,3.6,120.0,2,1080.0,2640.0,1.0,165.1,85.1,71.9,341.0,0,2,1,12960.0
7412,59,2,2,3990.0,4.0,128.0,5100.0,6.67,186.0,3.0,90.0,1,720.0,1604.0,0.0,165.77,76.08,7.68,310.0,0,2,0,2390.0
1311,27,3,1,40990.0,8.0,512.0,4422.0,6.7,221.0,3.6,120.0,2,2796.0,1290.0,1.0,159.0,76.0,9.0,645.0,3,4,1,26990.0
6431,114,3,2,4490.0,4.0,128.0,5000.0,6.6,201.0,3.6,90.0,1,1080.0,2408.0,0.0,167.7,78.0,9.1,888.0,2,4,0,3240.0
3187,151,3,2,43990.0,12.0,256.0,4400.0,7.6,239.0,3.6,120.0,2,1856.0,2160.0,1.0,153.5,132.6,68.1,341.0,0,2,1,24730.0
3568,110,3,2,3790.0,6.0,128.0,5000.0,6.7,189.0,3.6,60.0,1,720.0,1600.0,0.0,167.3,77.3,8.0,310.0,0,4,0,2380.0
8002,61,2,2,5490.0,8.0,128.0,5000.0,6.72,192.0,3.6,60.0,1,1080.0,2412.0,0.0,165.65,75.98,7.99,676.0,2,4,0,3740.0
1793,151,3,2,32990.0,12.0,512.0,4000.0,6.7,187.0,3.6,120.0,2,1080.0,2640.0,1.0,165.1,85.1,71.9,341.0,0,2,1,16670.0
5024,103,1,2,5290.0,8.0,256.0,5000.0,6.72,185.0,3.2,90.0,1,1080.0,2400.0,0.0,164.6,75.4,7.59,554.0,0,2,0,3260.0
6931,79,2,2,9990.0,12.0,256.0,5000.0,6.67,187.0,3.6,120.0,1,1080.0,2400.0,0.0,163.1,75.8,7.76,341.0,0,4,0,5340.0
3377,129,3,2,11990.0,12.0,256.0,5000.0,6.6,213.0,3.6,120.0,0,1080.0,2340.0,1.0,161.1,77.4,8.2,463.0,0,1,2,8080.0
9863,116,3,2,5390.0,8.0,128.0,5000.0,6.7,192.0,3.6,90.0,1,1080.0,2340.0,0.0,164.4,77.9,7.9,218.0,0,4,0,3640.0
12349,225,2,2,4990.0,6.0,128.0,5500.0,6.67,196.5,3.6,120.0,1,1080.0,2400.0,0.0,163.25,76.55,8.16,157.0,0,4,0,3330.0
63,27,3,4,34990.0,8.0,256.0,4422.0,6.7,221.0,3.6,120.0,2,2796.0,1290.0,1.0,159.0,76.0,9.0,645.0,3,4,1,25290.0
4490,210,2,2,4290.0,6.0,128.0,5030.0,6.79,205.0,3.8,90.0,1,1080.0,2460.0,0.0,168.6,76.28,8.3,371.0,0,4,0,2590.0
10943,93,1,2,9990.0,12.0,256.0,5000.0,6.67,185.0,3.8,120.0,1,1080.0,2400.0,0.0,161.7,74.7,7.6,218.0,0,4,0,5920.0
4401,79,2,2,9490.0,8.0,256.0,5000.0,6.67,187.0,3.6,120.0,1,1080.0,2400.0,0.0,163.1,75.8,7.76,341.0,0,4,0,6260.0
7424,59,2,2,3990.0,4.0,128.0,5100.0,6.67,186.0,3.0,90.0,1,720.0,1604.0,0.0,165.77,76.08,7.68,310.0,0,2,0,2640.0
10267,128,3,2,7990.0,8.0,256.0,5000.0,6.7,200.0,3.6,120.0,1,1080.0,2340.0,0.0,164.0,77.5,7.7,67.0,0,1,0,5700.0
323,129,3,4,9990.0,8.0,128.0,5000.0,6.6,213.0,3.6,120.0,0,1080.0,2400.0,0.0,161.1,77.4,8.2,463.0,0,1,0,6790.0
4354,26,3,2,25990.0,8.0,128.0,3274.0,6.1,187.0,3.6,120.0,2,1179.0,2556.0,1.0,146.6,70.6,8.25,645.0,3,0,1,17090.0
2483,148,3,2,20990.0,8.0,256.0,4000.0,6.2,167.0,3.6,120.0,2,1080.0,2340.0,1.0,147.0,70.6,7.6,523.0,0,1,2,14100.0
9326,202,2,2,12990.0,12.0,256.0,5000.0,6.67,195.0,3.8,144.0,1,1220.0,2712.0,1.0,160.5,75.1,7.8,279.0,0,4,2,8940.0
2133,151,3,2,28990.0,12.0,256.0,4000.0,6.7,187.0,3.6,120.0,2,1080.0,2640.0,1.0,165.1,85.1,71.9,341.0,0,2,1,12960.0
5439,100,1,2,4290.0,6.0,128.0,5000.0,6.74,182.0,3.0,90.0,1,720.0,1600.0,0.0,167.3,76.7,7.49,768.0,0,3,0,2750.0
2979,147,3,2,24990.0,8.0,256.0,5000.0,6.8,223.0,3.6,120.0,2,1440.0,3088.0,1.0,163.4,78.1,8.9,857.0,0,2,1,13510.0
10900,93,1,2,9990.0,12.0,256.0,5000.0,6.67,185.0,3.8,120.0,1,1080.0,2400.0,0.0,161.7,74.7,7.6,218.0,0,4,0,5470.0
4448,210,2,2,4290.0,6.0,128.0,5030.0,6.79,205.0,3.8,90.0,1,1080.0,2460.0,0.0,168.6,76.28,8.3,371.0,0,4,0,2590.0
4771,211,2,2,3690.0,6.0,128.0,5160.0,6.88,207.0,3.8,120.0,1,720.0,1640.0,0.0,171.88,77.8,8.22,310.0,0,4,0,2430.0
11313,203,2,2,16990.0,12.0,256.0,5000.0,6.67,209.0,3.8,144.0,2,1220.0,2712.0,1.0,160.4,75.1,8.39,279.0,0,4,2,10720.0
11070,104,1,2,7490.0,8.0,512.0,6000.0,6.72,196.0,3.0,90.0,1,1080.0,2400.0,0.0,165.69,76.22,7.99,218.0,0,4,0,4550.0
90,27,3,4,31990.0,8.0,256.0,3274.0,6.1,187.0,3.6,120.0,2,2556.0,1179.0,1.0,146.0,70.0,6.0,645.0,3,4,1,24090.0
4481,210,2,2,4290.0,6.0,128.0,5030.0,6.79,205.0,3.8,90.0,1,1080.0,2460.0,0.0,168.6,76.28,8.3,371.0,0,4,0,2590.0
1100,22,3,4,35990.0,6.0,1024.0,4325.0,6.7,240.0,3.0,120.0,2,2778.0,1284.0,1.0,160.8,78.1,7.65,1375.0,3,0,1,20590.0
10888,93,1,2,9990.0,12.0,256.0,5000.0,6.67,185.0,3.8,120.0,1,1080.0,2400.0,0.0,161.7,74.7,7.6,218.0,0,4,0,5470.0
9768,104,1,2,6490.0,8.0,256.0,6000.0,6.72,196.0,3.0,90.0,1,1080.0,2400.0,0.0,165.69,76.22,7.99,218.0,0,4,0,4010.0
5028,103,1,2,5290.0,8.0,256.0,5000.0,6.72,185.0,3.2,90.0,1,1080.0,2400.0,0.0,164.6,75.4,7.59,554.0,0,2,0,3260.0
